TestCaseID,Edge1,Edge2,Edge3,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
0,0,100,100,数值越界,数值越界,True,2021-05-10 11:43:13,Spidey Sandwich
1,1,100,100,等腰三角形,等腰三角形,True,2021-05-10 11:43:13,Spidey Sandwich
2,-1,100,100,数值越界,数值越界,True,2021-05-10 11:43:13,Spidey Sandwich
3,100,100,100,等边三角形,等边三角形,True,2021-05-10 11:43:13,Spidey Sandwich
4,199,100,100,等腰三角形,等腰三角形,True,2021-05-10 11:43:13,Spidey Sandwich
5,200,100,100,非三角形,非三角形,True,2021-05-10 11:43:13,Spidey Sandwich
6,201,100,100,数值越界,数值越界,True,2021-05-10 11:43:13,Spidey Sandwich
7,100,0,100,数值越界,数值越界,True,2021-05-10 11:43:13,Spidey Sandwich
8,100,1,100,等腰三角形,等腰三角形,True,2021-05-10 11:43:13,Spidey Sandwich
9,100,-1,100,数值越界,数值越界,True,2021-05-10 11:43:13,Spidey Sandwich
10,100,199,100,等腰三角形,等腰三角形,True,2021-05-10 11:43:13,Spidey Sandwich
11,100,200,100,非三角形,非三角形,True,2021-05-10 11:43:13,Spidey Sandwich
12,100,201,100,数值越界,数值越界,True,2021-05-10 11:43:13,Spidey Sandwich
13,100,100,0,数值越界,数值越界,True,2021-05-10 11:43:13,Spidey Sandwich
14,100,100,1,等腰三角形,等腰三角形,True,2021-05-10 11:43:13,Spidey Sandwich
15,100,100,-1,数值越界,数值越界,True,2021-05-10 11:43:13,Spidey Sandwich
16,100,100,199,等腰三角形,等腰三角形,True,2021-05-10 11:43:13,Spidey Sandwich
17,100,100,200,非三角形,非三角形,True,2021-05-10 11:43:13,Spidey Sandwich
18,100,100,201,数值越界,数值越界,True,2021-05-10 11:43:13,Spidey Sandwich
