TestCaseID,Edge1,Edge2,Edge3,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
0,100,100,100,等边三角形,等边三角形,True,2021-05-10 14:38:42,Spidey Sandwich
1,100,100,1,等腰三角形,等腰三角形,True,2021-05-10 14:38:42,Spidey Sandwich
2,6,7,8,普通三角形,普通三角形,True,2021-05-10 14:38:42,Spidey Sandwich
3,3,4,5,直角三角形,直角三角形,True,2021-05-10 14:38:42,Spidey Sandwich
4,100,100,200,非三角形,非三角形,True,2021-05-10 14:38:42,Spidey Sandwich
5,-1,100,100,数值越界,数值越界,True,2021-05-10 14:38:42,Spidey Sandwich
6,201,100,100,数值越界,数值越界,True,2021-05-10 14:38:42,Spidey Sandwich
7,0,100,100,数值越界,数值越界,True,2021-05-10 14:38:42,Spidey Sandwich
8,100,-1,100,数值越界,数值越界,True,2021-05-10 14:38:42,Spidey Sandwich
9,100,201,100,数值越界,数值越界,True,2021-05-10 14:38:42,Spidey Sandwich
10,100,0,100,数值越界,数值越界,True,2021-05-10 14:38:42,Spidey Sandwich
11,100,100,-1,数值越界,数值越界,True,2021-05-10 14:38:42,Spidey Sandwich
12,100,100,201,数值越界,数值越界,True,2021-05-10 14:38:42,Spidey Sandwich
13,100,100,0,数值越界,数值越界,True,2021-05-10 14:38:42,Spidey Sandwich
